Ratio,ARIMA,DCRNN,HistoricalAverage,LSTM,Persistence,RandomForest,STGCN
0%,3.9896±0.0000,3.5482±0.0000,5.1204±0.0000,3.7065±0.0000,3.8560±0.0000,3.7582±0.0000,3.6340±0.0000
10%,4.2600±0.1025,3.8344±0.0916,5.1204±0.0000,4.0143±0.0974,4.1457±0.1097,4.0601±0.0979,3.9545±0.1485
20%,4.5217±0.1484,4.1436±0.1460,5.1204±0.0000,4.3156±0.1451,4.4297±0.1590,4.3562±0.1450,4.2738±0.2603
30%,4.7909±0.1593,4.4536±0.1641,5.1204±0.0000,4.6108±0.1499,4.7069±0.1624,4.6457±0.1497,4.6127±0.1737
40%,5.0143±0.1785,4.7185±0.1694,5.1204±0.0000,4.8580±0.1638,4.9340±0.1808,4.8875±0.1645,4.9032±0.2133
